#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
AI_EVENT;You Should NOT Be Seeing This;You Should NOT Be Seeing This;You Should NOT Be Seeing This;;You Should NOT Be Seeing This;;;;;;;;;x;
ARCHDUCHESS;Archduchess;Archiduchesse;Erzherzogin;;Archiduquesa;;;;;;;;;x;
ARCHDUKE;Archduke;Archiduc;Erzherzog;;Archiduque;;;;;;;;;x;
ARCHDUKE_OF;Archduchy of;Archiduché de;Erzherzogtum;;Archduchy de;;;;;;;;;x;
duke_female_scottish;Mormaer;Mormaer;Mormaer;;Mormaer;;;;;;;;;x;
duke_scottish;Mormaer;Mormaer;Mormaer;;Mormaer;;;;;;;;;x;
d_gothia;Gothia;Gothie;Gothia;;Gothia;;;;;;;;;x;
d_gothia_adj;Gothic;Gothique;Gotischer;;Gótico;;;;;;;;;x;
EVTDESC_1000220002;Do you want to allow the AI the ability to create Flavourful Titular Titles?;Do you want to allow the AI the ability to create Flavourful Titular Titles?;Do you want to allow the AI the ability to create Flavourful Titular Titles?;;Do you want to allow the AI the ability to create Flavourful Titular Titles?;;;;;;;;;;
EVTDESC_1000220003;We have finally broken the bonds of vassalage to our old liege. I have convened with my council and the lords of the realm and they are all in agreement that I must officially renounce my bonds with my old liege by declaring the founding of the Kingdom of Tuscany.;We have finally broken the bonds of vassalage to our old liege. I have convened with my council and the lords of the realm and they are all in agreement that I must officially renounce my bonds with my old liege by declaring the founding of the Kingdom of Tuscany.;Endlich haben wir die Fesseln der Knechtschaft unserer alten Lehnsherrn gebrochen. Ich habe mit meinem Rat und den Herren des Reiches berief, und sie stimmen alle darin überein, dass ich offiziell meine Fesseln mit meinem alten Lehnsherrn entsagen muss indem ich die Gründung des Königreichs Toskanas erkläre.;;We have finally broken the bonds of vassalage to our old liege. I have convened with my council and the lords of the realm and they are all in agreement that I must officially renounce my bonds with my old liege by declaring the founding of the Kingdom of Tuscany.;;;;;;;;;x;
EVTDESC_1000220004;We have finally broken the bonds of vassalage to our old liege. I have convened with my council and the lords of the realm and they are all in agreement that I must officially renounce my bonds with my old liege by declaring the founding of the Kingdom of Austria.;We have finally broken the bonds of vassalage to our old liege. I have convened with my council and the lords of the realm and they are all in agreement that I must officially renounce my bonds with my old liege by declaring the founding of the Kingdom of Austria.;Endlich haben wir die Fesseln der Knechtschaft unserer alten Lehnsherrn gebrochen. Ich habe mit meinem Rat und den Herren des Reiches berief, und sie stimmen alle darin überein, dass ich offiziell meine Fesseln mit meinem alten Lehnsherrn entsagen muss indem ich die Gründung des Königreichs Österreichs erkläre.;;We have finally broken the bonds of vassalage to our old liege. I have convened with my council and the lords of the realm and they are all in agreement that I must officially renounce my bonds with my old liege by declaring the founding of the Kingdom of Austria.;;;;;;;;;x;
EVTDESC_1000220005;We have finally broken the bonds of vassalage to our old liege. I have convened with my council and the lords of the realm and they are all in agreement that I must officially renounce my bonds with my old liege by declaring the founding of the Kingdom of Luxembourg.;We have finally broken the bonds of vassalage to our old liege. I have convened with my council and the lords of the realm and they are all in agreement that I must officially renounce my bonds with my old liege by declaring the founding of the Kingdom of Luxembourg.;Endlich haben wir die Fesseln der Knechtschaft unserer alten Lehnsherrn gebrochen. Ich habe mit meinem Rat und den Herren des Reiches berief, und sie stimmen alle darin überein, dass ich offiziell meine Fesseln mit meinem alten Lehnsherrn entsagen muss indem ich die Gründung des Königreichs Luxembourgs erkläre.;;We have finally broken the bonds of vassalage to our old liege. I have convened with my council and the lords of the realm and they are all in agreement that I must officially renounce my bonds with my old liege by declaring the founding of the Kingdom of Luxembourg.;;;;;;;;;x;
EVTDESC_1000220009;On the creation of a titular title, would like de Jure territory to be instantly acquired, or to drift slowly (this being the standard option)?;On the creation of a titular title, would like de Jure territory to be instantly acquired, or to drift slowly (this being the standard option)?;On the creation of a titular title, would like de Jure territory to be instantly acquired, or to drift slowly (this being the standard option)?;;On the creation of a titular title, would like de Jure territory to be instantly acquired, or to drift slowly (this being the standard option)?;;;;;;;;;x;
EVTOPTA1000220009;Instant;Instant;Instant;;Instant;;;;;;;;;x;
EVTOPTB1000220009;Standard;Standard;Standard;;Standard;;;;;;;;;x;
EVTDESC_1000220010;Would you like to adjust Flavourful Titular Title's options? Alternatively you may permanently hide this decision.;Would you like to adjust Flavourful Titular Title's options? Alternatively you may permanently hide this decision.;Would you like to adjust Flavourful Titular Title's options? Alternatively you may permanently hide this decision.;;Would you like to adjust Flavourful Titular Title's options? Alternatively you may permanently hide this decision.;;;;;;;;;x;
EVTOPTA1000220010;Yes;Yes;Yes;;Yes;;;;;;;;;x;
EVTOPTB1000220010;No;No;No;;No;;;;;;;;;x;
EVTOPTC1000220010;Hide;Hide;Hide;;Hide;;;;;;;;;x;
ftt_1000220009OPTA;Most of the land a ruler holds §GWILL§! instantly become de Jure upon creating a FTT specific titular title;Most of the land a ruler holds §GWILL§! instantly become de Jure upon creating a FTT specific titular title;Most of the land a ruler holds §GWILL§! instantly become de Jure upon creating a FTT specific titular title;;Most of the land a ruler holds §GWILL§! instantly become de Jure upon creating a FTT specific titular title;;;;;;;;;x;
ftt_1000220009OPTB;Most of the land a ruler holds will §RNOT§! instantly become de Jure upon creating a FTT specific titular title;Most of the land a ruler holds will §RNOT§! instantly become de Jure upon creating a FTT specific titular title;Most of the land a ruler holds will §RNOT§! instantly become de Jure upon creating a FTT specific titular title;;Most of the land a ruler holds will §RNOT§! instantly become de Jure upon creating a FTT specific titular title;;;;;;;;;x;
ftt_1000220002OPTA;The AI §GCAN§! make FTT specific titular titles;The AI §GCAN§! make FTT specific titular titles;The AI §GCAN§! make FTT specific titular titles;;The AI §GCAN§! make FTT specific titular titles;;;;;;;;;x;
ftt_1000220002OPTB;The AI §RCANNOT§! make FTT specific titular titles;The AI §RCANNOT§! make FTT specific titular titles;The AI §RCANNOT§! make FTT specific titular titles;;The AI §RCANNOT§! make FTT specific titular titles;;;;;;;;;x;
ftt_1000220010OPTA;Change Options;Change Options;Change Options;;Change Options;;;;;;;;;x;
ftt_1000220010OPTB;Exit Options;Exit Options;Exit Options;;Exit Options;;;;;;;;;x;
ftt_1000220010OPTC;§RPermanently§! disable the options menu;§RPermanently§! disable the options menu;§RPermanently§! disable the options menu;;§RPermanently§! disable the options menu;;;;;;;;;x;
EVTOPTA_upg;Let it be so.;Qu'il en soit ainsi.;Lasst es so sein.;;Que así sea.;;;;;;;;;x;
EVTTITLE_upg;The Birth of a Kingdom;La Naissance d'un Royaume;Die Geburt eines Königreichs;;El Nacimiento de un Reino;;;;;;;;;x;
e_breton;Breton Empire;Empire Breton;Bretonisches Kaiserreich;;Breton Empire;;;;;;;;;x;
e_breton_adj;Breton;Breton;Bretonisch;;Breton;;;;;;;;;x;
e_carthage;Carthaginian Empire;l'Empire Carthaginoise;Karthagisches Kaiserreich;;Imperio Cartaginesa;;;;;;;;;x;
e_carthage_adj;Carthaginian;Carthaginois;Karthagischer;;Cartaginés;;;;;;;;;x;
e_celtic;Celtic Empire;l'Empire Celtique;Keltisches Kaiserreich;;Imperio de Celta;;;;;;;;;x;
e_celtic_adj;Celtic;Celtique;Keltisches;;Céltico;;;;;;;;;x;
e_common;Polish-Lithuanian Commonwealth;Polish-Lithuanian Commonwealth;Polish-Lithuanian Commonwealth;;Polish-Lithuanian Commonwealth;;;;;;;;;;
e_common_adj;Commonwealth;Commonwealth;Commonwealth;;Commonwealth;;;;;;;;;;
e_danubia;Danubia;Danubia;Danubia;;Danubia;;;;;;;;;;
